time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
976.0,2.5499999986517063,2.5499999972148775,2.54999998875392,2.5499999490609033,2.5499997703168837,2.549999003793083,2.5499959059073687,2.549984191642665,2.549942960579876,2.549808413288417,2.5494026290710834,2.548274453575621,2.545388751086967,2.5386073500988573,2.5239749022978164,2.4949734753180715,2.4420856063425527,2.3530563170631185,2.213997283480978,2.0108404235115405,1.7294406110991578
977.0,2.5499999986266557,2.5499999971659584,2.5499999885731452,2.5499999483145963,2.549999767265974,2.549998991871114,2.549995862078452,2.54998404146026,2.5499424840107197,2.5498070197514715,2.5493988897579047,2.548265279371208,2.545368237414503,2.5385656653143025,2.523898110505614,2.494845480725573,2.4418929041397686,2.352794710827928,2.213677886769832,2.010491469831776,1.7291028197420955
978.0,2.549999998601184,2.5499999971162643,2.549999988389781,2.54999994755867,2.5499997641799426,2.5499989798276976,2.54999581785871,2.5499838901206173,2.5499420043171312,2.549805618587832,2.549395133765566,2.548256072839756,2.5453476690179353,2.5385239014154766,2.523821225048081,2.4947174044917504,2.441700171931115,2.3525331633972564,2.213358650473727,2.010142750933601,1.7287652792297328
979.0,2.549999998575285,2.549999997065786,2.5499999882037936,2.549999946793018,2.549999761058453,2.5499989676618307,2.549995773245421,2.5499837376171204,2.549941521484952,2.549804209771534,2.5493913610550467,2.5482468339380993,2.5453270458760984,2.5384820584438357,2.5237442460616455,2.4945892468341393,2.4415074099315004,2.3522716748555412,2.213039574450189,2.0097942664897124,1.7284279890374545
980.0,2.5499999985489508,2.5499999970145115,2.5499999880151525,2.549999946017533,2.5499997579011637,2.549998955372503,2.549995728235851,2.5499835839431295,2.5499410354999994,2.5498027932765956,2.5493875715873653,2.5482375626232074,2.5453063679680543,2.5384401364410425,2.5236671736827083,2.494461007969851,2.441314618355128,2.3520102452866567,2.2127206585568757,2.009446016173884,1.7280909486479255
981.0,2.5499999985221766,2.5499999969624296,2.549999987823824,2.549999945232108,2.5499997547077333,2.5499989429587004,2.5499956828272556,2.5499834290919856,2.5499405463480596,2.549801369077022,2.549383765323576,2.5482282588521836,2.5452856352730913,2.5383981354489658,2.5235900080476377,2.494332688115572,2.441121797415503,2.351748874773918,2.2124019026515773,2.0090979996608986,1.7277541575507451
982.0,2.549999998494955,2.549999996909529,2.5499999876297745,2.549999944436633,2.549999751477816,2.549998930419401,2.5499956370168744,2.549983273057005,2.5499400540148898,2.549799937146801,2.54937994222477,2.5482189225822647,2.5452648477707243,2.5383560555096776,2.5235127492927703,2.4942042874875714,2.440928947325431,2.3514875634000845,2.2120833065922247,2.0087502166264866,1.7274176152421172
983.0,2.549999998467279,2.549999996855799,2.54999998743297,2.5499999436309992,2.5499997482110643,2.5499989177535767,2.549995590801935,2.549983115831483,2.5499395584862237,2.549798497459907,2.5493761022520762,2.5482095537708216,2.545244005440693,2.5383138966654526,2.523435397554412,2.4940758063016943,2.440736068297024,2.351226311247363,2.211764870236891,2.0084026667472714,1.7270813212245424
984.0,2.5499999984391426,2.549999996801228,2.5499999872333774,2.549999942815095,2.549999744907128,2.549998904960193,2.5499955441796525,2.549982957408693,2.5499390597477634,2.5497970499902998,2.549372245366662,2.548200152375358,2.545223108262963,2.538271658958767,2.523357952968836,2.493947244773364,2.4405431605416976,2.35096511839741,2.211446593443797,2.008055349700716,1.7267452750065255
985.0,2.5499999984105393,2.5499999967458042,2.549999987030961,2.5499999419888093,2.5499997415656535,2.5499988920382104,2.5499954971472296,2.549982797781885,2.5499385577851847,2.549795594711924,2.549368371529734,2.548190718353512,2.5452021562177234,2.5382293424322975,2.52328041567228,2.493818603117585,2.4403502242701784,2.3507039849313345,2.211128476071312,2.0077082651650833,1.7264094761023017
986.0,2.5499999983814607,2.549999996689516,2.549999986825687,2.549999941152029,2.549999738186286,2.549998878986582,2.549995449701856,2.5499826369442893,2.5499380525841366,2.54979413159871,2.549364480702535,2.548181251663056,2.5451811492853875,2.5381869471289207,2.523202785800946,2.493689881548938,2.4401572596925036,2.3504429109296994,2.2108105179779636,2.0073614128193893,1.7260739240315768
987.0,2.5499999983519004,2.549999996632351,2.54999998661752,2.54999994030464,2.5499997347686665,2.549998865804256,2.549995401840707,2.549982474889113,2.5499375441302394,2.5497926606245755,2.549360572846347,2.548171752261897,2.545160087446592,2.53814447309171,2.5231250634910016,2.493561080281588,2.4399642670180235,2.3501818964725283,2.2104927190224304,2.0070147923433708,1.7257386183192838
988.0,2.549999998321853,2.5499999965742974,2.549999986406425,2.549999939446529,2.5499997313124347,2.5499988524901727,2.5499953535609463,2.5499823116095404,2.5499370324090873,2.549791181763423,2.5493566479224925,2.548162220108076,2.5451389706821965,2.538101920363936,2.523047248878577,2.4934321995292783,2.439771246455402,2.349920941639304,2.210175079063554,2.006668403417447,1.7254035584953522
