time_s,mean_moisture,cumulative_loss_factor,effective_balance_residual
1965.0,2.261473815591428,5.770533753928301e-05,5.032878434008126e-07
1966.0,2.2613464790914617,5.773080483938085e-05,5.032883665379018e-07
1967.0,2.261219153645953,5.775626992858675e-05,5.032888874545449e-07
1968.0,2.2610918392486563,5.778173280814977e-05,5.032894057066528e-07
1969.0,2.2609645358933363,5.780719347931755e-05,5.032899248469391e-07
1970.0,2.2608372435737625,5.783265194333638e-05,5.032904448754039e-07
1971.0,2.2607099622837055,5.785810820145114e-05,5.032909617952441e-07
1972.0,2.260582692016952,5.788356225490537e-05,5.032914796032628e-07
1973.0,2.2604554327672894,5.7909014104941225e-05,5.032919960790139e-07
1974.0,2.2603281845285133,5.793446375279953e-05,5.032925116665865e-07
1975.0,2.2602009472944293,5.795991119971974e-05,5.032930285864268e-07
1976.0,2.2600737210588435,5.798535644693999e-05,5.032935441739994e-07
1977.0,2.259946505815573,5.801079949569708e-05,5.032940593174828e-07
1978.0,2.259819301558439,5.8036240347226474e-05,5.03294571796431e-07
1979.0,2.2596921082812744,5.806167900276234e-05,5.032950869399144e-07
1980.0,2.2595649259775525,5.8087115463536615e-05,5.032952361538889e-07
1981.0,2.2594377545418762,5.8112549750651254e-05,5.032951331251923e-07
1982.0,2.2593105938703393,5.8137981885112824e-05,5.032959040640606e-07
1983.0,2.259183443956402,5.8163411868001556e-05,5.032964103257598e-07
1984.0,2.259056304794651,5.8188839700451965e-05,5.032969112583885e-07
1985.0,2.2589291763792794,5.8214265383619955e-05,5.032973797725049e-07
1986.0,2.2588020587044833,5.82396889186739e-05,5.032978531716026e-07
1987.0,2.258674951764387,5.8265110306790474e-05,5.032983398933766e-07
1988.0,2.2585478555530702,5.829052954915242e-05,5.032988328323995e-07
1989.0,2.258420770064596,5.8315946646946805e-05,5.032993306564038e-07
1990.0,2.25829369529301,5.834136160136391e-05,5.032998302567648e-07
1991.0,2.2581666312323456,5.8366774413596404e-05,5.033003280807691e-07
1992.0,2.2580395778766342,5.839218508483883e-05,5.033008290133978e-07
1993.0,2.2579125352198903,5.841759361628722e-05,5.033013272814912e-07
1994.0,2.2577855032561334,5.844300000913871e-05,5.033018273259415e-07
1995.0,2.257658481979372,5.846840426459133e-05,5.033023291467487e-07
1996.0,2.257531471383609,5.849380638384377e-05,5.033028287471097e-07
1997.0,2.257404471462854,5.851920636809516e-05,5.033033301238277e-07
1998.0,2.2572774822111072,5.854460421854494e-05,5.03303832388724e-07
1999.0,2.25715050362237,5.856999993639265e-05,5.033043337654419e-07
2000.0,2.2570235356906507,5.859539352283782e-05,5.033048404712304e-07
2001.0,2.2568965784099433,5.8620784979079945e-05,5.033053436243051e-07
2002.0,2.256769631774255,5.864617430631826e-05,5.033058467773799e-07
2003.0,2.256642695777589,5.867156150575181e-05,5.03306348598187e-07
2004.0,2.2565157704139533,5.8696946578579336e-05,5.033068508630834e-07
2005.0,2.256388855677354,5.8722329525999205e-05,5.033073509075336e-07
2006.0,2.2562619515618048,5.87477103492094e-05,5.033078522842516e-07
2007.0,2.256135058061313,5.877308904940743e-05,5.033083509964342e-07
2008.0,2.2560081751698973,5.879846562779031e-05,5.033088492645277e-07
2009.0,2.255881302881576,5.8823840085554516e-05,5.033093488648888e-07
2010.0,2.2557544411903696,5.884921242389595e-05,5.033098497975175e-07
2011.0,2.255627590090296,5.88745826440099e-05,5.033103458451649e-07
2012.0,2.2555007495753885,5.889995074709103e-05,5.033108441132583e-07
2013.0,2.255373919639675,5.8925316734333316e-05,5.033113423813518e-07
2014.0,2.2552471002771886,5.895068060693008e-05,5.033118397612668e-07
2015.0,2.2551202914819672,5.897604236607391e-05,5.03312337585271e-07
2016.0,2.25499349324805,5.900140201295671e-05,5.033128345210969e-07
2017.0,2.2548667055694813,5.902675954876961e-05,5.033133301246551e-07
2018.0,2.254739928440311,5.9052114974703e-05,5.033138266163917e-07
2019.0,2.2546131618545884,5.9077468291946504e-05,5.033143213317715e-07
2020.0,2.2544864058063743,5.910281950168896e-05,5.033148195998649e-07
2021.0,2.2543596602897207,5.9128168605118406e-05,5.033153134270663e-07
2022.0,2.2542329252986963,5.915351560342208e-05,5.033158072542676e-07
2023.0,2.2541062008273673,5.9178860497786404e-05,5.033163001932905e-07
2024.0,2.253979486869811,5.920420328939696e-05,5.033167962409379e-07
2025.0,2.2538527834200957,5.922954397943849e-05,5.033172887358717e-07
2026.0,2.253726090472309,5.925488256909491e-05,5.033177843394299e-07
2027.0,2.2535994080205293,5.9280219059549276e-05,5.033182763902744e-07
2028.0,2.2534727360588493,5.9305553451983775e-05,5.033187688852081e-07
2029.0,2.2533460745813603,5.933088574757973e-05,5.03319259603785e-07
2030.0,2.2532194235821623,5.93562159475176e-05,5.033197507664511e-07
2031.0,2.2530927830553567,5.938154405297696e-05,5.033202419291172e-07
2032.0,2.2529661529950515,5.9406870065136495e-05,5.033207348681401e-07
2033.0,2.2528395333953535,5.9432193985174017e-05,5.033212242544494e-07
2034.0,2.2527129242503796,5.945751581426643e-05,5.03321712308491e-07
2035.0,2.252586325554255,5.948283555358975e-05,5.033222043593355e-07
2036.0,2.252459737301097,5.950815320431908e-05,5.033226928574663e-07
2037.0,2.252333159485038,5.9533468767628624e-05,5.033231817996864e-07
2038.0,2.2522065921002103,5.9558782244691685e-05,5.033236694096388e-07
2039.0,2.2520800351407537,5.958409363668065e-05,5.033241574636804e-07
2040.0,2.2519534886008112,5.960940294476699e-05,5.033246468499897e-07
2041.0,2.251826952527967,5.963471015940457e-05,5.033249905750381e-07
2042.0,2.2517004269710026,5.9660015270862084e-05,5.033253134278937e-07
2043.0,2.2515739119260165,5.968531827992197e-05,5.033256269548758e-07
2044.0,2.251447407389225,5.971061918734316e-05,5.033259413700364e-07
2045.0,2.2513209133568672,5.9735917993876813e-05,5.033262517883941e-07
2046.0,2.25119442982521,5.976121470027026e-05,5.033265617626625e-07
2047.0,2.2510679567905285,5.978650930726869e-05,5.033268726251094e-07
2048.0,2.2509414942491004,5.981180181561612e-05,5.033271817111995e-07
2049.0,2.2508150421972126,5.9837092226055924e-05,5.033274930177356e-07
2050.0,2.250688600631145,5.986238053933113e-05,5.033278012156472e-07
2051.0,2.2505621695471882,5.988766675618469e-05,5.033281120780941e-07
2052.0,2.250435748941621,5.9912950877359624e-05,5.033284198319166e-07
2053.0,2.250309338810733,5.993823290359909e-05,5.033287289180066e-07
2054.0,2.2501829391508057,5.996351283564649e-05,5.033290388922751e-07
2055.0,2.2500565499581215,5.9988790674245466e-05,5.033293493106328e-07
2056.0,2.2499301712289594,6.001406642013999e-05,5.033296601730797e-07
2057.0,2.2498038029595984,6.003934007407434e-05,5.033299705914374e-07
2058.0,2.2496774451463146,6.006461163679315e-05,5.03330281009795e-07
2059.0,2.2495510977853836,6.008988110904136e-05,5.033305909840635e-07
2060.0,2.2494247608730795,6.0115148491564276e-05,5.033309014024212e-07
2061.0,2.249298434405672,6.0140413785107534e-05,5.03331210044422e-07
2062.0,2.249172118379438,6.016567699041709e-05,5.033315240154934e-07
2063.0,2.249045812790637,6.019093810823925e-05,5.033318339897619e-07
2064.0,2.24891951763554,6.021619713932061e-05,5.033321435199412e-07
2065.0,2.2487932329104154,6.02414540844081e-05,5.033324566028341e-07
2066.0,2.248666958611521,6.026670894424893e-05,5.033327661330134e-07
2067.0,2.248540694735125,6.0291961719590604e-05,5.033330787718171e-07
2068.0,2.2484144412774865,6.031721241118091e-05,5.033333914106208e-07
2069.0,2.248288198234862,6.034246101976788e-05,5.033337018289785e-07
2070.0,2.2481619656035154,6.036770754609982e-05,5.033340149118715e-07
2071.0,2.2480357433797007,6.0392951990925266e-05,5.033343275506752e-07
2072.0,2.247909531559673,6.0418194354992986e-05,5.033346384131221e-07
2073.0,2.2477833301396917,6.044343463905197e-05,5.033349519401042e-07
2074.0,2.2476571391160047,6.0468672843851406e-05,5.033352623584619e-07
2075.0,2.2475309584848717,6.049390897014069e-05,5.033355758854441e-07
2076.0,2.2474047882425396,6.05191430186694e-05,5.033358871919802e-07
2077.0,2.247278628385264,6.054437499018728e-05,5.033362007189623e-07
2078.0,2.247152478909291,6.056960488544424e-05,5.033365129136769e-07
2079.0,2.247026339810874,6.059483270519035e-05,5.03336826440659e-07
2080.0,2.246900211086257,6.062005845017581e-05,5.033371368590167e-07
2081.0,2.246774092731696,6.064528212115096e-05,5.033374512741773e-07
2082.0,2.2466479847434333,6.0670503718866254e-05,5.033377652452486e-07
2083.0,2.246521887117715,6.0695723244072264e-05,5.033380765517848e-07
2084.0,2.246395799850791,6.072094069751966e-05,5.033383900787669e-07
2085.0,2.246269722938906,6.07461560799592e-05,5.033387027175706e-07
2086.0,2.2461436563783064,6.0771369392141744e-05,5.033390158004636e-07
2087.0,2.246017600165238,6.0796580634818206e-05,5.03339329771535e-07
2088.0,2.245891554295945,6.082178980873957e-05,5.033396432985171e-07
2089.0,2.24576551876667,6.084699691465688e-05,5.033399550491424e-07
2090.0,2.245639493573662,6.087220195332122e-05,5.033402685761246e-07
2091.0,2.245513478713162,6.089740492548373e-05,5.033405812149283e-07
2092.0,2.245387474181417,6.092260583189557e-05,5.033408951859997e-07
2093.0,2.245261479974667,6.094780467330793e-05,5.03341206936625e-07
2094.0,2.2451354960891616,6.0973001450472006e-05,5.03341522239964e-07
2095.0,2.245009522521136,6.099819616413901e-05,5.033418317701432e-07
2096.0,2.2448835592668437,6.1023388815060154e-05,5.033421452971254e-07
2097.0,2.2447576063225267,6.104857940398664e-05,5.033424606004644e-07
2098.0,2.2446316636844235,6.107376793166966e-05,5.033427723510897e-07
2099.0,2.244505731348782,6.109895439886039e-05,5.033430845458042e-07
2100.0,2.2443798093118605,6.112413880631005e-05,5.033434113954627e-07
2101.0,2.2442538976226754,6.114932114423877e-05,5.033438696955272e-07
2102.0,2.244127996329081,6.11745014030484e-05,5.033443239987889e-07
2103.0,2.2440021054256136,6.119967958382989e-05,5.033447636471067e-07
2104.0,2.2438762249069923,6.122485568764122e-05,5.033451988545323e-07
2105.0,2.2437503547680016,6.125002971552549e-05,5.033456296210659e-07
2106.0,2.2436244950034765,6.127520166851595e-05,5.033460568348858e-07
2107.0,2.2434986456082893,6.130037154763864e-05,5.033464831605272e-07
2108.0,2.243372806577336,6.132553935391381e-05,5.033469054893658e-07
2109.0,2.243246977905541,6.135070508835683e-05,5.033473260418475e-07
2110.0,2.243121159587848,6.137586875197893e-05,5.033477434857048e-07
2111.0,2.242995351619225,6.14010303457877e-05,5.033481640381865e-07
2112.0,2.2428695539946424,6.14261898707875e-05,5.033485805938653e-07
2113.0,2.2427437667090975,6.145134732797974e-05,5.03348996705455e-07
2114.0,2.2426179897575933,6.14765027183631e-05,5.033494092643309e-07
2115.0,2.2424922231351543,6.150165604293377e-05,5.033498235995637e-07
2116.0,2.2423664668368097,6.152680730268559e-05,5.033502383788857e-07
2117.0,2.242240720857596,6.155195649861025e-05,5.033506478291372e-07
2118.0,2.242114985192571,6.157710363169736e-05,5.033510586116563e-07
2119.0,2.241989259836798,6.16022487029346e-05,5.033514716146215e-07
2120.0,2.2418635447853403,6.162739171330777e-05,5.033518797326053e-07
2121.0,2.2417378400332826,6.165253266380088e-05,5.033522874065e-07
2122.0,2.241612145575716,6.167767155539627e-05,5.033526977449299e-07
2123.0,2.241486461407731,6.170280838907458e-05,5.033531045306461e-07
2124.0,2.2413607875244366,6.172794316581493e-05,5.033535117604515e-07
2125.0,2.241235123920942,6.175307588659488e-05,5.033539172139001e-07
2126.0,2.2411094705923693,6.177820655239052e-05,5.033543226673487e-07
2127.0,2.2409838275338467,6.180333516417653e-05,5.033547298971541e-07
