time_s,time_h,D_center_m2_s,D_half_radius_m2_s,D_surface_m2_s
182700.0,50.75,9.304881057712459e-10,7.566046758283631e-10,3.493854353794227e-12
182760.0,50.766666666666666,9.301148872151292e-10,7.562957142283621e-10,3.492698004273511e-12
182820.0,50.78333333333333,9.297419545032532e-10,7.559869925767397e-10,3.491543140236141e-12
182880.0,50.8,9.2936930731584e-10,7.556785106016795e-10,3.4903897590313735e-12
182940.0,50.81666666666667,9.289969453333356e-10,7.553702680315738e-10,3.4892378580138604e-12
183000.0,50.833333333333336,9.286248682367035e-10,7.550622645952523e-10,3.4880874345443626e-12
183060.0,50.85,9.282530758368059e-10,7.547545001283374e-10,3.486938486402065e-12
183120.0,50.86666666666667,9.278815675438745e-10,7.544469741372024e-10,3.4857910100766488e-12
183180.0,50.88333333333333,9.275103431877814e-10,7.541396864730924e-10,3.484645003448246e-12
183240.0,50.9,9.271394024486712e-10,7.538326368642359e-10,3.4835004638826006e-12
183300.0,50.916666666666664,9.267687450121033e-10,7.535258250433163e-10,3.4823573887747894e-12
183360.0,50.93333333333333,9.263983705570452e-10,7.532192507376573e-10,3.4812157755024157e-12
183420.0,50.95,9.260282787674824e-10,7.529129136786967e-10,3.4800756214695456e-12
183480.0,50.96666666666667,9.256584693282817e-10,7.526068135986172e-10,3.478936924084901e-12
183540.0,50.983333333333334,9.252889419245323e-10,7.523009502298056e-10,3.477799680762319e-12
183600.0,51.0,9.249196962418274e-10,7.519953233050735e-10,3.4766638889217042e-12
183660.0,51.016666666666666,9.245507320949478e-10,7.516899326634277e-10,3.4755295463972047e-12
183720.0,51.03333333333333,9.241820489003445e-10,7.513847778165547e-10,3.4743966497461847e-12
183780.0,51.05,9.238136464915126e-10,7.510798586188385e-10,3.4732651969018874e-12
183840.0,51.06666666666667,9.234455245532563e-10,7.507751748025159e-10,3.472135185288996e-12
183900.0,51.083333333333336,9.23077682775686e-10,7.504707261041855e-10,3.471006612360705e-12
183960.0,51.1,9.227101208424285e-10,7.501665122551717e-10,3.4698794755531458e-12
184020.0,51.11666666666667,9.223428384420379e-10,7.498625329908446e-10,3.4687537723282824e-12
184080.0,51.13333333333333,9.219758352639467e-10,7.495587880473143e-10,3.467629500152657e-12
184140.0,51.15,9.216091109978047e-10,7.492552771608853e-10,3.4665066564977683e-12
184200.0,51.166666666666664,9.212426653337568e-10,7.489520000682863e-10,3.4653852388410792e-12
184260.0,51.18333333333333,9.208764980904191e-10,7.486489566118386e-10,3.4642652450700833e-12
184320.0,51.2,9.205106086903663e-10,7.483461463084542e-10,3.4631466718081818e-12
184380.0,51.21666666666667,9.201449969706458e-10,7.480435690155991e-10,3.4620295170402087e-12
184440.0,51.233333333333334,9.197796626206365e-10,7.477412244694387e-10,3.460913778248234e-12
184500.0,51.25,9.194146053349247e-10,7.474391124104253e-10,3.4597994529420023e-12
184560.0,51.266666666666666,9.190498248017062e-10,7.471372325738067e-10,3.458686538614594e-12
184620.0,51.28333333333333,9.18685320714028e-10,7.468355846988169e-10,3.4575750327843127e-12
184680.0,51.3,9.183210927658047e-10,7.465341685254199e-10,3.456464932973952e-12
184740.0,51.31666666666667,9.17957140651166e-10,7.462329837937711e-10,3.4553562367112128e-12
184800.0,51.333333333333336,9.175934640647241e-10,7.459320302444421e-10,3.4542489415294475e-12
184860.0,51.35,9.172300628288617e-10,7.456313077230057e-10,3.4531430453681203e-12
184920.0,51.36666666666667,9.168669363721801e-10,7.453308157515168e-10,3.452038544914959e-12
184980.0,51.38333333333333,9.165040845352054e-10,7.450305541904618e-10,3.45093543820496e-12
185040.0,51.4,9.161415070118169e-10,7.447305227798672e-10,3.449833722776048e-12
185100.0,51.416666666666664,9.157792035009917e-10,7.444307212639637e-10,3.4487333961929694e-12
185160.0,51.43333333333333,9.154171736954143e-10,7.441311493818552e-10,3.447634456004243e-12
185220.0,51.45,9.15055417292546e-10,7.438318068765729e-10,3.446536899783047e-12
185280.0,51.46666666666667,9.146939339907061e-10,7.435326934918615e-10,3.4454407251069583e-12
185340.0,51.483333333333334,9.143327234884215e-10,7.432338089716615e-10,3.4443459295582563e-12
185400.0,51.5,9.139717854846945e-10,7.429351530603155e-10,3.443252510724782e-12
185460.0,51.516666666666666,9.136111198056019e-10,7.426367256065875e-10,3.442160466596499e-12
185520.0,51.53333333333333,9.132507258856727e-10,7.423385261375913e-10,3.441069793923804e-12
185580.0,51.55,9.128906035688534e-10,7.420405545167745e-10,3.439980490790633e-12
185640.0,51.56666666666667,9.125307525534338e-10,7.417428104879561e-10,3.438892554789076e-12
185700.0,51.583333333333336,9.121711725427093e-10,7.414452937990768e-10,3.4378059835375605e-12
185760.0,51.6,9.118118632337758e-10,7.411480041930318e-10,3.4367207746385103e-12
185820.0,51.61666666666667,9.114528243284266e-10,7.408509414165742e-10,3.435636925718536e-12
185880.0,51.63333333333333,9.110940555293094e-10,7.405541052171713e-10,3.4345544344084576e-12
185940.0,51.65,9.107355565392713e-10,7.402574953424715e-10,3.4334732983437855e-12
186000.0,51.666666666666664,9.103773270616286e-10,7.39961111540527e-10,3.432393515165392e-12
186060.0,51.68333333333333,9.100193669260774e-10,7.396649536632282e-10,3.431315082912328e-12
186120.0,51.7,9.096616755729846e-10,7.393690212426716e-10,3.430237998396153e-12
186180.0,51.71666666666667,9.093042528496493e-10,7.39073314145203e-10,3.429162259748203e-12
186240.0,51.733333333333334,9.089470984586938e-10,7.387778321183701e-10,3.428087864613518e-12
186300.0,51.75,9.085902121076581e-10,7.384825749137574e-10,3.4270148106627013e-12
186360.0,51.766666666666666,9.082335934979682e-10,7.381875422779794e-10,3.4259430955506258e-12
186420.0,51.78333333333333,9.078772423356782e-10,7.378927339614498e-10,3.4248727169558835e-12
186480.0,51.8,9.075211583276833e-10,7.375981497152863e-10,3.423803672561268e-12
186540.0,51.81666666666667,9.07165341181075e-10,7.373037892907869e-10,3.42273596005402e-12
186600.0,51.833333333333336,9.068097906034099e-10,7.370096524396432e-10,3.4216695771266366e-12
186660.0,51.85,9.064545064279328e-10,7.367157390168114e-10,3.420604521865902e-12
186720.0,51.86666666666667,9.06099488100761e-10,7.364220485592894e-10,3.419540791143064e-12
186780.0,51.88333333333333,9.057447354724748e-10,7.361285809362706e-10,3.41847838313553e-12
186840.0,51.9,9.053902482499592e-10,7.358353358989606e-10,3.4174172955398694e-12
186900.0,51.916666666666664,9.050360261449197e-10,7.355423132025256e-10,3.4163575260775396e-12
186960.0,51.93333333333333,9.046820688630396e-10,7.352495125972319e-10,3.4152990724544014e-12
187020.0,51.95,9.043283761145545e-10,7.349569338370897e-10,3.414241932399842e-12
187080.0,51.96666666666667,9.039749476105366e-10,7.346645766768014e-10,3.4131861036470124e-12
187140.0,51.983333333333334,9.03621783062249e-10,7.343724408712492e-10,3.412131583933643e-12
187200.0,52.0,9.032688821814077e-10,7.340805261756999e-10,3.4110783710024824e-12
187260.0,52.016666666666666,9.029162448047444e-10,7.337888324481188e-10,3.4100264629867907e-12
187320.0,52.03333333333333,9.025638703840344e-10,7.334973592303265e-10,3.4089758568159556e-12
187380.0,52.05,9.022117587730759e-10,7.332061063943083e-10,3.407926550712244e-12
187440.0,52.06666666666667,9.01859909682946e-10,7.329150736948601e-10,3.406878542422417e-12
187500.0,52.083333333333336,9.015083228294369e-10,7.326242608906694e-10,3.4058318297172992e-12
187560.0,52.1,9.011569979224173e-10,7.323336677355902e-10,3.4047864103526735e-12
187620.0,52.11666666666667,9.008059346762332e-10,7.320432939871639e-10,3.40374228210706e-12
187680.0,52.13333333333333,9.004551328060569e-10,7.317531394036159e-10,3.4026994427629355e-12
187740.0,52.15,9.001045920272531e-10,7.314632037433486e-10,3.4016578901070853e-12
187800.0,52.166666666666664,8.997543120556261e-10,7.311734867651412e-10,3.4006176219311413e-12
187860.0,52.18333333333333,8.994042927313228e-10,7.308839883299064e-10,3.399578636413675e-12
187920.0,52.2,8.990545335116891e-10,7.305947079842156e-10,3.398540930540634e-12
187980.0,52.21666666666667,8.98705034253686e-10,7.303056456027897e-10,3.3975045025781206e-12
188040.0,52.233333333333334,8.983557946724999e-10,7.300168009439583e-10,3.3964693503215883e-12
188100.0,52.25,8.980068144879475e-10,7.297281737698582e-10,3.395435471590121e-12
188160.0,52.266666666666666,8.976580934140038e-10,7.294397638378748e-10,3.394402864187903e-12
